mes,suma importe sector 1 BEBIDAS,promedio precio sector 1 BEBIDAS,suma importe sector 18 PERFUMERIA,promedio precio sector 18 PERFUMERIA,suma importe sector 3 COMESTIBLES,promedio precio sector 3 COMESTIBLES,suma importe sector NO COMESTIBLES,promedio precio sector NO COMESTIBLES,suma importe sector PERECEDEROS,promedio precio sector PERECEDEROS
2020-01,91917.0,84.49283667621776,112789.0,185.52354570637118,354155.0,93.4567474048443,38891.0,128.5796178343949,52618.59,144.3189189189189
2020-02,101480.0,79.37988826815642,131758.0,179.7862407862408,418015.0,97.41895066562255,50599.0,145.77472527472528,55653.68,137.12254901960785
2020-03,104432.0,86.86072423398329,136838.0,182.97115384615384,449992.0,98.53125,53756.0,137.2828282828283,64994.98,138.16744186046512
2020-04,116546.0,86.79842931937172,129831.0,190.58163265306123,407681.0,97.9290780141844,41050.0,145.0632183908046,60706.81,140.0137614678899
2020-05,110788.0,92.48901098901099,124376.0,187.1044776119403,433864.0,99.34816549570648,54851.0,140.27884615384616,59489.57,124.7
2020-06,91402.0,80.78285714285714,108878.0,186.0686813186813,395455.0,97.49074074074075,45217.0,136.20833333333334,57350.27,143.46634615384616
2020-07,101851.0,83.50518134715026,127851.0,180.44391408114558,391661.0,94.0251012145749,55097.0,150.62325581395348,63208.65,135.2920353982301
2020-08,521907.0,83.38290788013319,638586.0,172.36378737541528,2096150.0,92.08041074249606,390552.0,134.7,292952.78,135.18318584070798
2020-09,648264.0,80.63965037743345,712801.0,177.5755738414898,2622804.0,94.44958140697238,318177.0,128.52225020990764,392639.09,129.49463902787704
2020-10,778490.0,80.56183874498359,826597.0,182.43461860854987,2696902.0,93.91010183776191,394825.0,136.82549187339606,412212.53,124.77361111111111
2020-11,69606.0,94.1178861788618,56570.0,184.59278350515464,219585.0,95.1178756476684,24280.0,138.0086956521739,35111.87,133.00751879699249
2020-12,68732.0,80.77092511013215,76435.0,180.4404761904762,256723.0,95.76312576312576,27616.0,137.75213675213675,35895.340000000004,136.584
